"","pool","code","country","marst","relinc","sex","age","parent","employ","homemaker","degree","hswrk","respmom","famlife","index"
"791","One $ Manager","CL","Chile","Married","Man primary-earner","Female",43,"Parent","Not in labor force","Homemaker","Upper secondary",2,"Yes, she worked for pay",6,0.36
"792","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",34,"Parent","Not in labor force","Homemaker","Lower secondary",2,"Yes, she worked for pay",5,0.36
"793","One $ Manager","CL","Chile","Married","Man primary-earner","Male",47,"Parent","Fulltime","Homemaker","Lower secondary",3,"No",5,0.36
"794","One $ Manager","CL","Chile","Married","Man primary-earner","Male",50,"Parent","Unemployed","Homemaker","Lower secondary",4,"Yes, she worked for pay",6,0.36
"795","One $ Manager","CL","Chile","Married","Man primary-earner","Female",43,"Parent","Fulltime","Other","Primary school",10,"Yes, she worked for pay",6,0.36
"796","One $ Manager","CL","Chile","Married","Equal-earners","Female",33,"Parent","Fulltime","Other","Post secondary",4,"No",7,0.36
"797","Manage $ Together","CL","Chile","Married","Man primary-earner","Female",30,"Parent","Parttime","Homemaker","Lower secondary",5,"Yes, she worked for pay",5,0.36
"798","One $ Manager","CL","Chile","Married","Equal-earners","Male",30,"Parent","Fulltime","Other","Upper secondary",9,"Yes, she worked for pay",7,0.36
"799","Keep Some $ Separate","CL","Chile","Cohab","Woman primary-earner","Female",35,"Parent","Parttime","Homemaker","Lower secondary",0,"Yes, she worked for pay",7,0.36
"800","One $ Manager","CL","Chile","Married","Man primary-earner","Male",43,"Parent","Unemployed","Homemaker","No formal education",4,"No",7,0.36
"801","One $ Manager","CL","Chile","Married","Man primary-earner","Female",50,"Parent","Not in labor force","Homemaker","No formal education",2,"Yes, she worked for pay",5,0.36
"802","Keep Some $ Separate","CL","Chile","Married","Man primary-earner","Female",36,"Parent","Fulltime","Other","Post secondary",6,"Yes, she worked for pay",7,0.36
"803","Manage $ Together","CL","Chile","Cohab","Man primary-earner","Male",29,"Parent","Fulltime","Homemaker","Lower secondary",4,"Yes, she worked for pay",6,0.36
"804","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",29,"Parent","Not in labor force","Homemaker","Lower secondary",6,"Yes, she worked for pay",6,0.36
"805","One $ Manager","CL","Chile","Married","Man primary-earner","Female",51,"Nonparent","Not in labor force","Homemaker","No formal education",2,"No",6,0.36
"806","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",19,"Parent","Not in labor force","Other","Upper secondary",2,"No",5,0.36
"807","One $ Manager","CL","Chile","Married","Man primary-earner","Male",34,"Parent","Fulltime","Homemaker","No formal education",3,"No",7,0.36
"808","Keep Some $ Separate","CL","Chile","Married","Man primary-earner","Female",40,"Parent","Not in labor force","Homemaker","Primary school",1,"No",7,0.36
"809","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",27,"Parent","Not in labor force","Homemaker","Upper secondary",4,"No",5,0.36
"810","Keep Some $ Separate","CL","Chile","Married","Man primary-earner","Female",48,"Parent","Not in labor force","Homemaker","Upper secondary",3,"No",6,0.36
"811","Manage $ Together","CL","Chile","Married","Equal-earners","Male",24,"Parent","Fulltime","Other","Upper secondary",2,"Yes, she worked for pay",6,0.36
"812","Keep All $ Separate","CL","Chile","Cohab","Man primary-earner","Male",20,"Parent","Fulltime","Homemaker","Upper secondary",7,"No",6,0.36
"813","Manage $ Together","CL","Chile","Married","Equal-earners","Male",39,"Parent","Fulltime","Other","Upper secondary",3,"No",6,0.36
"814","Keep All $ Separate","CL","Chile","Married","Equal-earners","Female",37,"Parent","Fulltime","Other","Upper secondary",0,"No",5,0.36
"815","Manage $ Together","CL","Chile","Cohab","Woman primary-earner","Male",45,"Parent","Fulltime","Homemaker","Post secondary",6,"Yes, she worked for pay",7,0.36
"816","Manage $ Together","CL","Chile","Married","Woman primary-earner","Female",41,"Parent","Parttime","Homemaker","Lower secondary",12,"No",6,0.36
"817","One $ Manager","CL","Chile","Married","Woman primary-earner","Female",43,"Parent","Not in labor force","Homemaker","Lower secondary",2,"No",6,0.36
"818","Manage $ Together","CL","Chile","Cohab","Man primary-earner","Male",33,"Nonparent","Fulltime","Other","Primary school",3,"No",6,0.36
"819","One $ Manager","CL","Chile","Married","Woman primary-earner","Female",53,"Nonparent","Not in labor force","Homemaker","No formal education",2,"No",6,0.36
"820","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",21,"Parent","Not in labor force","Homemaker","Lower secondary",3,"No",6,0.36
"821","One $ Manager","CL","Chile","Cohab","Man primary-earner","Male",51,"Parent","Fulltime","Homemaker","Lower secondary",3,"No",6,0.36
"822","One $ Manager","CL","Chile","Married","Man primary-earner","Female",45,"Parent","Not in labor force","Homemaker","No formal education",0,"No",6,0.36
"823","One $ Manager","CL","Chile","Married","Man primary-earner","Female",34,"Parent","Not in labor force","Homemaker","Primary school",4,"No",6,0.36
"824","One $ Manager","CL","Chile","Married","Man primary-earner","Male",49,"Parent","Fulltime","Homemaker","Lower secondary",2,"Yes, she worked for pay",6,0.36
"825","Manage $ Together","CL","Chile","Married","Man primary-earner","Female",48,"Nonparent","Not in labor force","Homemaker","Lower secondary",3,"No",7,0.36
"826","One $ Manager","CL","Chile","Cohab","Man primary-earner","Male",46,"Nonparent","Fulltime","Other","Upper secondary",5,"Yes, she worked for pay",6,0.36
"827","One $ Manager","CL","Chile","Cohab","Woman primary-earner","Male",22,"Parent","Unemployed","Other","Primary school",3,"No",6,0.36
"828","One $ Manager","CL","Chile","Cohab","Equal-earners","Female",27,"Parent","Not in labor force","Homemaker","Primary school",0,"Yes, she worked for pay",5,0.36
"829","Keep Some $ Separate","CL","Chile","Married","Equal-earners","Male",52,"Parent","Fulltime","Homemaker","Upper secondary",6,"No",5,0.36
"830","One $ Manager","CL","Chile","Married","Man primary-earner","Male",50,"Parent","Fulltime","Homemaker","Post secondary",2,"Yes, she worked for pay",6,0.36
"831","One $ Manager","CL","Chile","Cohab","Woman primary-earner","Male",24,"Parent","Unemployed","Homemaker","No formal education",7,"No",6,0.36
"832","One $ Manager","CL","Chile","Married","Man primary-earner","Female",35,"Parent","Parttime","Homemaker","Lower secondary",7,"Yes, she worked for pay",5,0.36
"833","Manage $ Together","CL","Chile","Married","Woman primary-earner","Female",28,"Parent","Parttime","Other","Lower level tertiary",4,"No",7,0.36
"834","Keep Some $ Separate","CL","Chile","Cohab","Man primary-earner","Female",33,"Parent","Fulltime","Homemaker","Upper secondary",7,"No",6,0.36
"835","One $ Manager","CL","Chile","Married","Man primary-earner","Male",51,"Nonparent","Fulltime","Homemaker","No formal education",2,"No",6,0.36
"836","Keep All $ Separate","CL","Chile","Married","Man primary-earner","Male",36,"Parent","Fulltime","Other","Upper secondary",2,"Yes, she worked for pay",7,0.36
"837","Manage $ Together","CL","Chile","Married","Man primary-earner","Male",51,"Parent","Fulltime","Homemaker","Lower secondary",2,"No",6,0.36
"838","Keep All $ Separate","CL","Chile","Married","Man primary-earner","Female",45,"Nonparent","Not in labor force","Homemaker","Lower secondary",1,"No",3,0.36
"839","One $ Manager","CL","Chile","Married","Man primary-earner","Female",39,"Parent","Not in labor force","Homemaker","Lower secondary",0,"No",7,0.36
"840","One $ Manager","CL","Chile","Married","Man primary-earner","Female",35,"Parent","Not in labor force","Other","Lower secondary",2,"Yes, she worked for pay",5,0.36
"841","Manage $ Together","CL","Chile","Married","Woman primary-earner","Female",32,"Parent","Fulltime","Other","Lower secondary",4,"Yes, she worked for pay",6,0.36
"842","Manage $ Together","CL","Chile","Married","Man primary-earner","Male",34,"Parent","Fulltime","Other","Lower level tertiary",6,"No",5,0.36
"843","One $ Manager","CL","Chile","Cohab","Equal-earners","Female",38,"Parent","Fulltime","Other","Post secondary",0,"No",6,0.36
"844","Keep All $ Separate","CL","Chile","Married","Equal-earners","Male",40,"Parent","Fulltime","Homemaker","Lower secondary",6,"No",6,0.36
"845","Manage $ Together","CL","Chile","Married","Equal-earners","Female",35,"Parent","Fulltime","Homemaker","Upper secondary",6,"No",6,0.36
"846","Manage $ Together","CL","Chile","Married","Man primary-earner","Male",30,"Parent","Fulltime","Homemaker","Primary school",0,"No",6,0.36
"847","Manage $ Together","CL","Chile","Cohab","Equal-earners","Male",46,"Nonparent","Fulltime","Other","Lower secondary",6,"Yes, she worked for pay",7,0.36
"848","One $ Manager","CL","Chile","Married","Man primary-earner","Male",48,"Parent","Fulltime","Homemaker","Upper secondary",3,"No",6,0.36
"849","Manage $ Together","CL","Chile","Married","Man primary-earner","Female",40,"Parent","Fulltime","Homemaker","No formal education",3,"Yes, she worked for pay",6,0.36
"850","Keep All $ Separate","CL","Chile","Married","Equal-earners","Female",37,"Parent","Fulltime","Homemaker","Upper level tertiary",4,"Yes, she worked for pay",7,0.36
"851","Manage $ Together","CL","Chile","Married","Woman primary-earner","Female",44,"Nonparent","Parttime","Homemaker","Lower level tertiary",4,"No",6,0.36
"852","Manage $ Together","CL","Chile","Married","Man primary-earner","Female",37,"Parent","Parttime","Homemaker","Lower level tertiary",4,"No",6,0.36
"853","Manage $ Together","CL","Chile","Married","Man primary-earner","Female",39,"Parent","Parttime","Homemaker","Primary school",2,"No",7,0.36
"854","One $ Manager","CL","Chile","Married","Man primary-earner","Female",51,"Nonparent","Not in labor force","Other","Primary school",0,"No",5,0.36
"855","Keep Some $ Separate","CL","Chile","Married","Man primary-earner","Female",36,"Parent","Not in labor force","Homemaker","Upper secondary",4,"Yes, she worked for pay",7,0.36
"856","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",53,"Nonparent","Not in labor force","Homemaker","No formal education",2,"No",7,0.36
"857","Manage $ Together","CL","Chile","Married","Man primary-earner","Male",51,"Nonparent","Fulltime","Homemaker","Lower secondary",2,"No",6,0.36
"858","Manage $ Together","CL","Chile","Married","Equal-earners","Female",46,"Parent","Fulltime","Homemaker","Upper secondary",6,"No",6,0.36
"859","Manage $ Together","CL","Chile","Married","Man primary-earner","Female",54,"Nonparent","Not in labor force","Homemaker","Upper secondary",7,"No",7,0.36
"860","One $ Manager","CL","Chile","Married","Man primary-earner","Male",50,"Parent","Fulltime","Homemaker","Lower secondary",3,"No",7,0.36
"861","One $ Manager","CL","Chile","Cohab","Man primary-earner","Male",43,"Parent","Fulltime","Homemaker","Lower secondary",2,"Yes, she worked for pay",7,0.36
"862","Keep All $ Separate","CL","Chile","Married","Man primary-earner","Female",53,"Nonparent","Fulltime","Other","Upper secondary",1,"Yes, she worked for pay",7,0.36
"863","One $ Manager","CL","Chile","Married","Man primary-earner","Male",39,"Parent","Fulltime","Homemaker","Primary school",11,"Yes, she worked for pay",6,0.36
"864","Manage $ Together","CL","Chile","Cohab","Man primary-earner","Female",50,"Parent","Fulltime","Other","Upper secondary",4,"Yes, she worked for pay",4,0.36
"865","Manage $ Together","CL","Chile","Married","Man primary-earner","Female",27,"Parent","Not in labor force","Other","Lower level tertiary",6,"No",7,0.36
"866","Manage $ Together","CL","Chile","Married","Man primary-earner","Male",29,"Parent","Fulltime","Other","Post secondary",3,"Yes, she worked for pay",6,0.36
"867","Manage $ Together","CL","Chile","Married","Man primary-earner","Male",35,"Parent","Fulltime","Other","Post secondary",7,"Yes, she worked for pay",6,0.36
"868","Manage $ Together","CL","Chile","Cohab","Woman primary-earner","Male",37,"Parent","Parttime","Other","Lower level tertiary",5,"Yes, she worked for pay",7,0.36
"869","Manage $ Together","CL","Chile","Married","Equal-earners","Female",45,"Parent","Fulltime","Other","Lower secondary",5,"No",7,0.36
"870","Manage $ Together","CL","Chile","Married","Man primary-earner","Female",52,"Parent","Fulltime","Other","Lower secondary",3,"Yes, she worked for pay",6,0.36
"871","Keep Some $ Separate","CL","Chile","Married","Man primary-earner","Female",42,"Parent","Fulltime","Homemaker","Upper secondary",3,"Yes, she worked for pay",5,0.36
"872","One $ Manager","CL","Chile","Cohab","Man primary-earner","Male",23,"Parent","Not in labor force","Other","Primary school",3,"Yes, she worked for pay",5,0.36
"873","Manage $ Together","CL","Chile","Married","Man primary-earner","Male",51,"Nonparent","Fulltime","Homemaker","Upper secondary",1,"No",6,0.36
"874","Keep Some $ Separate","CL","Chile","Married","Equal-earners","Male",50,"Parent","Fulltime","Homemaker","Lower secondary",3,"No",5,0.36
"875","One $ Manager","CL","Chile","Married","Man primary-earner","Male",43,"Parent","Fulltime","Homemaker","Lower secondary",2,"Yes, she worked for pay",6,0.36
"876","One $ Manager","CL","Chile","Cohab","Man primary-earner","Male",29,"Nonparent","Fulltime","Other","Lower level tertiary",7,"Yes, she worked for pay",6,0.36
"877","Manage $ Together","CL","Chile","Married","Man primary-earner","Female",46,"Parent","Fulltime","Homemaker","Upper secondary",5,"Yes, she worked for pay",6,0.36
"878","One $ Manager","CL","Chile","Married","Man primary-earner","Male",36,"Parent","Fulltime","Homemaker","Upper secondary",3,"Yes, she worked for pay",4,0.36
"879","One $ Manager","CL","Chile","Married","Man primary-earner","Male",54,"Nonparent","Fulltime","Homemaker","Primary school",3,"No",6,0.36
"880","Keep Some $ Separate","CL","Chile","Married","Man primary-earner","Male",24,"Parent","Not in labor force","Other","Lower level tertiary",0,"No",7,0.36
"881","One $ Manager","CL","Chile","Married","Man primary-earner","Female",29,"Parent","Parttime","Homemaker","Lower secondary",0,"Yes, she worked for pay",5,0.36
"882","One $ Manager","CL","Chile","Cohab","Man primary-earner","Male",49,"Nonparent","Fulltime","Other","Lower secondary",3,"Yes, she worked for pay",6,0.36
"883","Keep All $ Separate","CL","Chile","Married","Woman primary-earner","Female",34,"Nonparent","Fulltime","Other","Lower level tertiary",5,"No",6,0.36
"884","One $ Manager","CL","Chile","Married","Man primary-earner","Female",43,"Parent","Not in labor force","Other","Lower secondary",4,"Yes, she worked for pay",6,0.36
"885","One $ Manager","CL","Chile","Married","Man primary-earner","Female",34,"Parent","Parttime","Homemaker","Upper secondary",7,"Yes, she worked for pay",6,0.36
"886","Manage $ Together","CL","Chile","Married","Man primary-earner","Female",43,"Parent","Fulltime","Homemaker","Upper secondary",0,"Yes, she worked for pay",5,0.36
"887","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",26,"Nonparent","Fulltime","Other","Upper secondary",2,"Yes, she worked for pay",6,0.36
"888","One $ Manager","CL","Chile","Married","Man primary-earner","Male",31,"Parent","Fulltime","Homemaker","Upper secondary",3,"Yes, she worked for pay",6,0.36
